SourceUID;FootprintUID
300001.1;1.2.1-THA.1
300002.1;2.18.3-BRA.1
300005.1;1.6.13-CHN.1
300006.1;1.6.10-CHN.1
300007.1;1.11.1-ARG.1
300008.1;2.14.3-CZE.1
300009.1;1.11.1-ROU.1
300010.1;1.11.1-DEU.1
300001.2;1.2.1-THA.2
300002.2;2.18.3-BRA.2
300003.2;1.6.13-CHN.2
300004.2;1.6.10-CHN.2
300005.2;1.11.1-ARG.2
300006.2;2.14.3-CZE.2
300007.2;1.11.1-ROU.2
300008.2;1.11.1-DEU.2
300001.3;1.2.1-THA.3
300002.3;2.18.3-BRA.3
300003.3;1.6.13-CHN.3
300004.3;1.6.10-CHN.3
300005.3;1.11.1-ARG.3
300006.3;2.14.3-CZE.3
300007.3;1.11.1-ROU.3
300008.3;1.11.1-DEU.3
